id,ПІБ,Округ,Висування,Номер і дата реєстрації,Номер та дата рішення про скасування реєстрації кандидата,Дата народження,Основні відомості,Передвиборна програма,Фотографія,Довірені особи
601,Шатравка Володимир Іванович,52,Самовисування,1116 від 21.06.2019,,2 сiчня 1967,"народився 2 сiчня 1967 року в місті Дзержинськ Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Торецьк Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17566pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17566.jpg,
602,Яковенко Євген Геннадійович,52,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,протокол від 03.08.2019,6 червня 1965,"народився 6 червня 1965 року в місті Ош, Киргизстан, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ТПК ""АЛЬКОН"", безпартійний, проживає в селі Новогородське міста Торецьк Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19349pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19349.jpg,"Сєднєв Юрій Володимирович,Хмелевський Дмитро Анатолійович,Яковенко Максим Геннадійович"
603,Забавін Дмитро В’ячеславович,57,Самовисування,1139 від 22.06.2019,,6 лютого 1991,"народився 6 лютого 1991 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17689pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17689.jpg,"Деменков Владислав Віталійович,Комаров Олександр Валерійович,Косовський Олег Андрійович"
604,Зорба Костянтин Костянтинович,57,Самовисування,1096 від 20.06.2019,,11 жовтня 1979,"народився 11 жовтня 1979 року в місті Шахтарськ Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, тимчасово не працює, безпартійний, проживає в місті Шахтарськ Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17190pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17190.jpg,
605,Карпов Владислав Сергійович,57,Самовисування,1070 від 19.06.2019,,4 вересня 1993,"народився 4 вересня 1993 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, виконувач обов’язків керівника виробництва, ТОВ ""Вектор 8"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16939pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16939.jpg,Турчев Дмитро Олександрович
606,Куршев Андрій Юрійович,57,Самовисування,1018 від 15.06.2019,,4 червня 1977,"народився 4 червня 1977 року в місті Першотравенськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Спецтрейдинг"", безпартійний, проживає в місті Покровськ Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15752pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15752.jpg,Папуш Георгій Георгійович
607,Михайленко Олексій Миколайович,57,"Політична партія ""Європейська Солідарність""",1210 від 24.06.2019,,20 вересня 1978,"народився 20 вересня 1978 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""Європейська Солідарність"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18773pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18773.jpg,
608,Новинський Вадим Владиславович,57,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",1278 від 25.06.2019,протокол від 29.07.2019,3 червня 1963,"народився 3 червня 1963 року в місті Стара Руса Новгородської області, Російська Федерація, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21537pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21537.jpg,"Воробей Ніна Іванівна,Куркчи Костянтин Семенович,Третьяк Олег Миколайович"
609,Остапенко Денис Вікторович,57,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,,12 листопада 1985,"народився 12 листопада 1985 року в смт Якимівка Якимівського району Запорізької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач ринку ""Сонячний"", ПП ""Нікон"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19287pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19287.jpg,
610,Пустовойт Руслан Костянтинович,57,Самовисування,1172 від 23.06.2019,,2 листопада 1970,"народився 2 листопада 1970 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20386pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=20386.jpg,"Анупрієв Павло Миколайович,Малецький Володимир Вікторович,Трощенко Микола Олександрович"
611,Салгалов Вячеслав Сергійович,57,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,,19 лютого 1980,"народився 19 лютого 1980 року в селі Талаківка міста Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Талаківський селищний голова, безпартійний, проживає в смт Талаківка міста Маріуполь Донецької області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21066pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21066.jpg,
612,Трібушкін Євген Дмитрович,57,Самовисування,1033 від 17.06.2019,,12 вересня 1951,"народився 12 вересня 1951 року в смт Сартана міста Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, пенсіонер, безпартійний, проживає в смт Сартана міста Маріуполь Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15634pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15634.jpg,
613,Філімонов Владислав Євгенович,57,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",1229 від 24.06.2019,,31 травня 1993,"народився 31 травня 1993 року в місті Донецьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19586pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19586.jpg,
614,Бородін Максим Володимирович,58,"Політична партія ""Сила Людей""",1280 від 25.06.2019,,6 сiчня 1978,"народився 6 сiчня 1978 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""Сила Людей"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""Сила Людей"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19862pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19862.jpg,"Вишняков Кирило Володимирович,Жидко Анатолій Сергійович,Ніколюкіна Наталя Володимирівна"
615,Брижан Тетяна Михайлівна,58,Самовисування,1172 від 23.06.2019,,8 червня 1961,"народилася 8 червня 1961 року в селі Радісне Михайлівського району Запорізької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Енергореле"", безпартійнa, проживає в місті Маріуполь Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18227pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18227.jpg,
616,Джамбулатов Руслан Адамович,58,Самовисування,1209 від 24.06.2019,,19 жовтня 1988,"народився 19 жовтня 1988 року в місті Вологда, Російська Федерація, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18709pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18709.jpg,
617,Дубовий Артем Владиславович,58,"політична партія Всеукраїнське об’єднання ""Свобода""",1279 від 25.06.2019,,18 сiчня 1976,"народився 18 сiчня 1976 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21396pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21396.jpg,
618,Дьяконов Андрій Петрович,58,Самовисування,1116 від 21.06.2019,,12 квiтня 1967,"народився 12 квiтня 1967 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Олнайт"", безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17209pd410f01=27.pdf,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17209.jpg,"Балашов Юрій Вячеславович,Вергун Олег Михайлович,Матвєєв Руслан Олексійович"
619,Зорба Костянтин Георгійович,58,Самовисування,1096 від 20.06.2019,,10 липня 1956,"народився 10 липня 1956 року в місті Шахтарськ Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, пенсіонер, безпартійний, проживає в місті Шахтарськ Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17194pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17194.jpg,
620,Кожемякін Сергій Семенович,58,"ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА""",1285 від 25.06.2019,,19 квiтня 1986,"народився 19 квiтня 1986 року в місті Марiуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАЗОМ СИЛА"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21227pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21227.jpg,
621,Коноп Антон Георгійович,58,Самовисування,1275 від 25.06.2019,,18 травня 1955,"народився 18 травня 1955 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20379pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=20379.jpg,
622,Ліпіріді Олексій Дмитрович,58,Самовисування,1070 від 19.06.2019,,1 травня 1975,"народився 1 травня 1975 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник, Федерація грецьких товариств України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16391pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16391.jpg,"Очеретяна Олена Володимирівна,Ярош Зоя Володимирівна"
623,Магера Сергій Васильович,58,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",1278 від 25.06.2019,протокол від 29.07.2019,8 листопада 1956,"народився 8 листопада 1956 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор з регіонального розвитку, ПрАТ ""Маріупольський металургійний комбінат Імені Ілліча"", член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21560pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21560.jpg,"Александрова Олена Вікторівна,Ларіонова Світлана Василівна"
624,Мещеряков Олександр Олександрович,58,Самовисування,1096 від 20.06.2019,,4 травня 1980,"народився 4 травня 1980 року в місті Красний Луч Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, тимчасово не працює, безпартійний, проживає в місті Хрустальний Луганської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17193pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17193.jpg,Жидко Анатолій Сергійович
625,Мирошниченко Владислав Вікторович,58,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ""",1117 від 21.06.2019,,29 травня 1976,"народився 29 травня 1976 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник сектору землеустрою, державне підприємство ""Маріупольський морський торговельний порт"", член ПОЛІТИЧНОЇ ПАРТІЇ ""НАШ КРАЙ"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17670pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17670.jpg,"Гаврилов Денис Сергійович,Філонов Вадим Валентинович,Халявінський Олександр Юрійович"
626,Муратов Тадеуш Олександрович,58,"Політична Партія ""ПАТРІОТ""",1284 від 25.06.2019,,28 червня 1992,"народився 28 червня 1992 року в місті Херсоні, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, член правління, ГО ""Вся Україна"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична Партія ""ПАТРІОТ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21422pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21422.jpg,
627,Однорог Галина Геннадіївна,58,Самовисування,1139 від 22.06.2019,,20 вересня 1968,"народилася 20 вересня 1968 року в станиці Должанській, Російська Федерація, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Маріуполь Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18755pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18755.jpg,"Перешивайлова Марина Борисівна,Стебіна Яна Анатоліївна,Хомяк Альберт Михайлович"
628,Онацький Валерій Анатолійович,58,Самовисування,1116 від 21.06.2019,,19 серпня 1974,"народився 19 серпня 1974 року в селі Зелений Яр Володарського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, садівницьке товариство ""Коксохімовець"", безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17287pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17287.jpg,
629,Рибачук Валентин Леонідович,58,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",1229 від 24.06.2019,,12 березня 1966,"народився 12 березня 1966 року в селищі Міронівка Дебальцевського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Слов’янськ Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19544pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19544.jpg,
630,Романюк Віктор Валерійович,58,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,,28 липня 1987,"народився 28 липня 1987 року в смт Володарське Володарського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""САЙБЕР ЮНІОН"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21073pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21073.jpg,"Гайдучок Олег Олександрович,Курільчук Ігор Геннадійович,Лисов Володимир Леонідович"
631,Рубан Ольга Михайлівна,58,Самовисування,1047 від 18.06.2019,,2 лютого 1982,"народилася 2 лютого 1982 року в селі Низківка Щорського району Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Чернігові, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15793pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15793.jpg,Шпак Анатолій Валерійович
632,Сташенко Єгор Олександрович,58,"Політична партія ""Європейська Солідарність""",1210 від 24.06.2019,,23 вересня 1991,"народився 23 вересня 1991 року в місті Єнакієве Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""Європейська Солідарність"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18803pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18803.jpg,
633,Требухов Антон Ігорович,58,Самовисування,1172 від 23.06.2019,,29 липня 1989,"народився 29 липня 1989 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член ПОЛІТИЧНОЇ ПАРТІЇ ""НАЦІОНАЛЬНИЙ КОРПУС"", проживає в місті Маріуполь Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20380pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=20380.jpg,"Джурило Олег Ігорович,Праведніков Микола Євгенович,Прощенко Віталій Вячеславович"
634,Ярошенко Олександр Олександрович,58,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,,22 травня 1965,"народився 22 травня 1965 року в місті Донецьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, виконувач обов’язків головного лікаря, КЛПУ ""Міський дерматовенерологічний диспансер міста Маріуполя"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19297pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19297.jpg,
635,Беспалов Сергій Петрович,59,Аграрна партія України,1176 від 23.06.2019,,20 вересня 1987,"народився 20 вересня 1987 року в місті Курахове Мар’їнського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, спеціаліст тендерного відділу з тендерних процедур, ПрАТ ""АБ Столичний"", безпартійний, проживає в місті Курахове Мар’їнського району Донецької області, судимість відсутня, суб’єкт висування – Аграрна партія України.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17902pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17902.jpg,
636,Гращенков Віталій Вікторович,59,Самовисування,1139 від 22.06.2019,,17 вересня 1984,"народився 17 вересня 1984 року в селі Дачне Мар’їнського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, тимчасово не працює, безпартійний, проживає в селі Дачне Мар’їнського району Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17961pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17961.jpg,
637,Демяненко Дмитро Миколайович,59,Самовисування,1139 від 22.06.2019,,2 червня 1993,"народився 2 червня 1993 року в місті Вугледар  Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Вугледар  Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18231pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18231.jpg,
638,Єфіменко Федір Євгенович,59,Самовисування,950 від 06.06.2019,,30 сiчня 1971,"народився 30 сiчня 1971 року в місті Гур’єв, Казахстан, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник генерального директора, ТОВ ""Міжнародна транспортно-експедиторська компанія ""ІнтерТрансСервіс"", безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15198pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15198.jpg,
639,Заборський Володимир Олександрович,59,Самовисування,1139 від 22.06.2019,,24 лютого 1985,"народився 24 лютого 1985 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ТОВ ""Будівельна компанія ""Аркада Буд Холдинг"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17778pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17778.jpg,Міщук Дмитро Сергійович
640,Іванченко Андрій Васильович,59,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,,5 вересня 1965,"народився 5 вересня 1965 року в місті Курахове Мар’їнського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Курахове Мар’їнського району Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19344pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19344.jpg,
641,Катунін Денис Вікторович,59,Самовисування,1139 від 22.06.2019,,14 жовтня 1978,"народився 14 жовтня 1978 року в місті Горлівка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, тимчасово не працює, безпартійний, проживає в місті Бердянськ Запорізької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18228pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18228.jpg,
642,Кирилов Сергій Дмитрович,59,Самовисування,1018 від 15.06.2019,,5 травня 1961,"народився 5 травня 1961 року в селі Дніпроенергія Великоновосілківського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Великоновосілківська районна рада Донецької області, член ПОЛІТИЧНОЇ ПАРТІЇ ""НАШ КРАЙ"", проживає в смт Велика Новосілка Великоновосілківського району Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15422pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15422.jpg,"Сердюков Володимир Анатолійович,Ченцов Олександр Анатолійович"
643,Криволесов Дмитро Сергійович,59,Самовисування,1139 від 22.06.2019,,29 березня 1994,"народився 29 березня 1994 року в місті Вугледар Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, приймальник-фахівець, ТОВ ""Нова пошта"", безпартійний, проживає в місті Вугледар Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17992pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17992.jpg,
644,Лисенко Ігор Григорович,59,Самовисування,1139 від 22.06.2019,,4 сiчня 1952,"народився 4 сiчня 1952 року в місті Біла Церква Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17951pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17951.jpg,
645,Мізін Олександр Юрійович,59,Самовисування,1139 від 22.06.2019,,25 вересня 1987,"народився 25 вересня 1987 року в селі Андріївка Бердянського району Запорізької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Курахове Мар’їнського району Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17996pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17996.jpg,
646,Міщенко Станіслав Сергійович,59,Самовисування,1139 від 22.06.2019,,18 лютого 1986,"народився 18 лютого 1986 року в місті Курахове Мар’їнського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Курахове Мар’їнського району Донецької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18221pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18221.jpg,
